Имя;Адрес;Адрес данных;Формат;Тип;X;Y;Разр.данных;Достоверность;Источник;Мин;Макс;Примечание
MAP_000_10070_5;0x10070;0x10076;с заголовком;2d;5;1;8;вероятная;mapscan;3;33;
MAP_001_10092_6;0x10092;0x10099;с заголовком;2d;6;1;8;вероятная;mapscan;7;63;
MAP_002_100A1_8;0x100A1;0x100AA;с заголовком;2d;8;1;8;вероятная;mapscan;8;125;
MAP_003_100B3_8;0x100B3;0x100BC;с заголовком;2d;8;1;8;вероятная;mapscan;10;88;
MAP_004_100C7_12;0x100C7;0x100D4;с заголовком;2d;12;1;8;вероятная;mapscan;12;138;
MAP_005_100F2_16;0x100F2;0x10103;с заголовком;2d;16;1;8;вероятная;mapscan;16;150;
MAP_006_1012D_5;0x1012D;0x10133;с заголовком;2d;5;1;8;вероятная;mapscan;6;67;
MAP_007_1013A_6;0x1013A;0x10141;с заголовком;2d;6;1;8;вероятная;mapscan;8;73;
MAP_008_1014A_12;0x1014A;0x10157;с заголовком;2d;12;1;8;вероятная;mapscan;12;107;
MAP_009_10164_16;0x10164;0x10175;с заголовком;2d;16;1;8;вероятная;mapscan;12;225;
MAP_16x16_0101F4;0x101F4;0x10216;с заголовком;3d;16;16;8;подтверждена;профиль;;;Классический формат Bosch с заголовком и осями внутри блока. Максимум ссылок из кода. Ось X 6..133, ось Y 10..150, данные 89..200.
MAP_16x16_010316;0x10316;0x10338;с заголовком;3d;16;16;8;подтверждена;профиль;;;Данные 89..190. Найдена обоими сканерами независимо.
MAP_012_10438_16x8;0x10438;0x10452;с заголовком;3d;16;8;8;вероятная;mapscan;0;225;
MAP_013_10514_10;0x10514;0x1051F;с заголовком;2d;10;1;8;вероятная;mapscan;191;202;
IGN_MAIN_11x16;0x10529;0x10529;голая сетка;3d;11;16;8;подтверждена;профиль;;;Карта зажигания. Столбцы = нагрузка (растёт вправо), строки = обороты (растут вниз). Сток 1..60. Меняется и между двумя csok, и относительно стока (+0..+9).
MAP_015_1073A_8;0x1073A;0x10743;с заголовком;2d;8;1;8;вероятная;mapscan;32;137;
MAP_016_1081C_8x6;0x1081C;0x1082C;с заголовком;3d;8;6;16;вероятная;mapscan;21;48385;
GRID_017_10935_4x48;0x10935;0x10935;голая сетка;3d;4;48;8;вероятная;gridscan;223;223;константная таблица (все значения 223)
IGN_2_12x15;0x10A01;0x10A01;голая сетка;3d;12;15;8;подтверждена;профиль;;;Вторая карта зажигания. Сток 3..57. Меняется между csok и относительно стока (+0..+15).
IGN_3_12x16;0x10AB5;0x10AB5;голая сетка;3d;12;16;8;подтверждена;профиль;;;Третья карта зажигания. Сток 3..45.
MAP_020_10B86_8x8;0x10B86;0x10B98;с заголовком;3d;8;8;8;вероятная;mapscan;21;240;
MAP_021_10D9A_6;0x10D9A;0x10DA7;с заголовком;2d;6;1;16;вероятная;mapscan;115;18750;
GRID_022_10FF8_4x64;0x10FF8;0x10FF8;голая сетка;3d;4;64;8;вероятная;gridscan;128;128;константная таблица (все значения 128)
MAP_023_110FD_14x14;0x110FD;0x1111B;с заголовком;3d;14;14;16;вероятная;mapscan;2051;52403;
MAP_024_112C2_14;0x112C2;0x112D1;с заголовком;2d;14;1;8;вероятная;mapscan;0;129;
GRID_025_112DF_4x49;0x112DF;0x112DF;голая сетка;3d;4;49;8;вероятная;gridscan;128;128;константная таблица (все значения 128)
MAP_026_113A3_14x14;0x113A3;0x113C1;с заголовком;3d;14;14;16;вероятная;mapscan;3328;65213;
MAP_027_11567_8;0x11567;0x11570;с заголовком;2d;8;1;8;вероятная;mapscan;115;141;
MAP_028_11580_6;0x11580;0x11587;с заголовком;2d;6;1;8;вероятная;mapscan;60;87;
MAP_029_11595_8;0x11595;0x1159E;с заголовком;2d;8;1;8;вероятная;mapscan;68;139;
MAP_030_115EC_7;0x115EC;0x115F4;с заголовком;2d;7;1;8;вероятная;mapscan;6;59;
MAP_031_115FB_7;0x115FB;0x11603;с заголовком;2d;7;1;8;вероятная;mapscan;5;35;
MAP_032_11616_8;0x11616;0x1161F;с заголовком;2d;8;1;8;вероятная;mapscan;26;255;
MAP_033_11673_6;0x11673;0x1167A;с заголовком;2d;6;1;8;вероятная;mapscan;15;90;
