A: firmware/FBH3ID60_stok.bin (524288 байт)
B: firmware/FBH3ID60 e2 tun csok.bin (524288 байт)
Изменено байт: 940, областей: 18

НАЧАЛО     КОНЕЦ       РАЗМЕР ИЗМ.БАЙТ  РАСПОЗНАНО
0x010009   0x010027        30       15  структура не распознана Δ[-255..+0]
0x010513   0x010514         1        1  контрольная сумма? Δ[-5..-5]
0x010533   0x0105D9       166       89  структура не распознана Δ[+0..+9]
0x01093C   0x0109F5       185      100  структура не распознана Δ[-223..+32]
0x010A06   0x010B75       367      320  структура не распознана Δ[+0..+15]
0x010EF8   0x010EFA         2        2  контрольная сумма? Δ[+87..+88]
0x011A01   0x011A19        24       24  структура не распознана Δ[-30..-30]
0x011DA5   0x011DB9        20        4  структура не распознана Δ[-5..+0]
0x0149FC   0x0149FF         3        3  контрольная сумма? Δ[+1..+1]
0x014A48   0x014B70       296      140  структура не распознана Δ[-196..+215]
0x014BB4   0x014BB6         2        2  контрольная сумма? Δ[-112..+2]
0x014DC8   0x014E82       186       96  карта @0x014DA4 3d 16x12 осьu8 данныеu16 Δ[-57832..+9254]
0x018FDE   0x018FF1        19       12  карта @0x018FD5 3d 3x4 осьu8 данныеu16 Δ[-4626..+0]
0x01949B   0x0194B0        21       19  структура не распознана Δ[+0..+29]
0x019562   0x019575        19       12  структура не распознана Δ[-18..+0]
0x019653   0x0196F6       163       72  структура не распознана Δ[-16..+12]
0x01A6BC   0x01A6CA        14       11  карта @0x01A6AC 3d 8x5 осьu8 данныеu16 Δ[+1..+1024]
0x01FC68   0x01FC8F        39       18  структура не распознана Δ[-185..+185]
